symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,market_cap,date,stock_price,fmp_dcf_calc,margin_of_safety,% weight
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,0000723254,1929,39938469888,2022-05-04,390.31,394.8931747240198,0.011742396361916898,0.0010211007442474719
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,0000858877,1984,207376171008,2022-05-04,49.92,52.085958451369216,0.043388590772620465,0.005301954810719558
C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,0000831001,1998,97289191424,2022-05-04,50.1,181.01177058353318,2.613009392884894,0.002487377860215163
CFG,Citizens,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,0000759944,1828,19965773824,2022-05-04,40.17,62.36420909371009,0.5525070722855386,0.0005104618821986627
CTXS,Citrix,Information Technology,Application Software,"Fort Lauderdale, Florida",1999-12-01,0000877890,1989,12813491200,2022-05-04,101.23,105.30094147743924,0.040214773065684425,0.00032760056750846226
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,0000021076,1913,18158438400,2022-05-04,147.56,150.06591127974298,0.01698232095244629,0.0004642540141524781
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,0001156375,1848,78771150848,2022-05-04,219.16,227.05692134556028,0.03603267633491644,0.0020139299522911828
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,0000811156,1886,19581345792,2022-05-04,67.49,69.05077348066298,0.023125996157400918,0.000500633269568144
KO,Coca-Cola,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,0000021344,1886,273453678592,2022-05-04,63.08,65.32011103400417,0.035512223113572806,0.006991348329330873
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,0001058290,1994,42501496832,2022-05-04,81.55,84.95684410646388,0.04177613864456014,0.0010866292616740012
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,0000021665,1806,62615773184,2022-05-04,74.49,75.47078509961099,0.013166668003906534,0.0016008878852673309
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,0001166691,1963,180858011648,2022-05-04,40.37,42.23730975348339,0.046254886140287096,0.004623969090823341
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,0000028412,1849,10871386112,2022-05-04,83.14,249.25372820131787,1.9980000986446702,0.0002779470640987224
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,0000023217,1919,16723643392,2022-05-04,34.85,35.012361623616236,0.004658870118112908,0.00042757082987877226
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0001163165,2002,128218234880,2022-05-04,98.93,102.71571412437291,0.038266593797360776,0.003278135978399182
ED,Con Edison,Utilities,Electric Utilities,"New York City, New York",,0001047862,1823,32684929024,2022-05-04,92.28,95.08146851171985,0.030358349715212903,0.0008356505756398545
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,0000016918,1945,46960893952,2022-05-04,245.05,246.07095152272308,0.004166298807276338,0.0012006419850180967
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2022-02-02,0001868275,1999,19501840384,2022-05-04,59.7,61.24459086730003,0.02587254384087153,0.000498600566975677
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,0000711404,1958,17457203200,2022-05-04,354.09,356.015702811245,0.0054384557915925415,0.00044632564116722095
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,0000900075,1982,27186280448,2022-05-04,114.47,118.83247867160514,0.03811023562160519,0.0006950674694504033
GLW,Corning,Information Technology,Electronic Components,"Corning, New York",,0000024741,1851,30515830784,2022-05-04,36.13,38.61611111111111,0.06881016083894567,0.000780193573070125
